"pathway"	"pval"	"padj"	"ES"	"NES"	"nMoreExtreme"	"size"
"1"	"KEGG-Pathway-pae02040: Flagellar assembly - Pseudomonas aeruginosa PAO1"	0.000625390869293308	0.00951768488745981	-0.614857674373706	-1.99251456524456	1	35
"2"	"KEGG-Pathway-pae02030: Bacterial chemotaxis - Pseudomonas aeruginosa PAO1"	0.00029753049687593	0.00951768488745981	-0.732370379208608	-2.50624953848333	0	45
"3"	"KEGG-Pathway-pae00920: Sulfur metabolism - Pseudomonas aeruginosa PAO1"	0.000643086816720257	0.00951768488745981	0.656943726954821	2.66785478408507	0	51
"4"	"KEGG-Pathway-pae00860: Porphyrin and chlorophyll metabolism - Pseudomonas aeruginosa PAO1"	0.000594883997620464	0.00951768488745981	0.586398750454599	2.27760176476707	0	42
"5"	"KEGG-Module-M00332: Type III secretion system"	0.000486144871171609	0.00951768488745981	0.75581067697054	2.34319975489888	0	18
"6"	"KEGG-Pathway-pae00280: Valine, leucine and isoleucine degradation - Pseudomonas aeruginosa PAO1"	0.000886786875554242	0.0105503279155974	-0.539483087699077	-1.86258993549906	2	47
"7"	"KEGG-Pathway-pae00540: Lipopolysaccharide biosynthesis - Pseudomonas aeruginosa PAO1"	0.000998003992015968	0.0105503279155974	0.621104334465112	1.98757955636651	1	20
"8"	"KEGG-Pathway-pae03010: Ribosome - Pseudomonas aeruginosa PAO1"	0.00132187706543291	0.0108687669824484	0.454735435597536	1.88715875987148	1	56
"9"	"KEGG-Module-M00178: Ribosome, bacteria"	0.00132187706543291	0.0108687669824484	0.454735435597536	1.88715875987148	1	56
"10"	"KEGG-Pathway-pae00970: Aminoacyl-tRNA biosynthesis - Pseudomonas aeruginosa PAO1"	0.00265111346765642	0.0196182396606575	0.545821236796941	1.88492012082639	4	27
